source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[somascan menu]	comment[somascan platform]	comment[dilution]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000013-II-1	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	1	not applicable	blood plasma	PAD000013-r00001-II-1	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-II-8	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	2	not applicable	blood plasma	PAD000013-r00002-II-8	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-V-5	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	3	not applicable	blood plasma	PAD000013-r00003-V-5	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-200170	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	4	quality control sample	blood plasma	PAD000013-r00004-200170	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-240160	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	5	not applicable	blood plasma	PAD000013-r00005-240160	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-II-2	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	6	not applicable	blood plasma	PAD000013-r00006-II-2	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-II-9	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	7	not applicable	blood plasma	PAD000013-r00007-II-9	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-V-6	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	8	not applicable	blood plasma	PAD000013-r00008-V-6	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-200169	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	9	calibrator	blood plasma	PAD000013-r00009-200169	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-II-3	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	10	not applicable	blood plasma	PAD000013-r00010-II-3	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-II-10	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	11	not applicable	blood plasma	PAD000013-r00011-II-10	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-V-7	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	12	not applicable	blood plasma	PAD000013-r00012-V-7	protein expression profiling by aptamer array	1	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-240160	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	5	not applicable	blood plasma	PAD000013-r00013-240160	protein expression profiling by aptamer array	2	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000013-200169	Homo sapiens	Bone marrow	not available	not available	not available	not available	not available	9	calibrator	blood plasma	PAD000013-r00014-200169	protein expression profiling by aptamer array	2	NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PAD000013/NJDX.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	AM20241227-001-7K-plasma	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
